,match_id,set_id,game_id,player,shot_type,hit_court_side,hit_type,hit_location_long,hit_location_lat,hit_location,hit_velocity,hit_wing,net_type,bounce_court_side,bounce_location_long,bounce_location_lat,bounce_location
194,964239482519510429463795739407980857415734383373,1,2,guest,none,near,ground_stroke,no_mans_land,deuce,"[1.015319705, -0.3776496765, 1.087672472]","[19.312128, 19.312128, 19.312128]",right,over,far,service_box,ad,"[0.0399913788, 16.099439621, 0.0]"
195,964239482519510429463795739407980857415734383373,1,2,guest,none,near,ground_stroke,no_mans_land,ad,"[-0.5122303367, 0.0601850631, 1.2293426991]","[0.203003121, 15.9721107414, 4.7674163996]",right,over,far,service_box,deuce,"[-0.2718684673, 18.2020301819, 0.0]"
196,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,no_mans_land,deuce,"[0.7108200192, -0.1059583432, 2.2246148586]","[-18.8149558528, 25.4499369002, -2.2289184466]",top,net,near,service_box,ad,"[-1.9152088165, 7.9932159929, 0.0]"
197,964239482519510429463795739407980857415734383373,1,3,guest,return,near,ground_stroke,no_mans_land,ad,"[-3.8094050884, 0.4639145019, 1.2064373493]","[5.3262321589, 16.4794031231, 4.882446489]",left,over,far,no_mans_land,ad,"[2.5856186058, 19.4697341919, 0.0]"
198,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,no_mans_land,ad,"[-0.7886334658, 0.3641573074, 2.2523062229]","[1.3306445111, 24.827060398, 0.3752046347]",top,over,far,service_box,ad,"[0.1655550897, 17.7012252808, 0.0]"
199,964239482519510429463795739407980857415734383373,1,3,host,return,far,ground_stroke,no_mans_land,ad,"[0.4573954642, 24.645172537, 1.0891419649]","[0.4529956768, -18.8516330284, 4.5036856966]",left,over,near,no_mans_land,deuce,"[0.963527441, 3.839225769, 0.0]"
200,964239482519510429463795739407980857415734383373,1,3,guest,serve_plus_one,near,ground_stroke,out,deuce,"[0.8567636609, -0.5888799546, 0.891926527]","[-0.7944874802, 20.8700475503, 4.5403793196]",right,net,near,service_box,deuce,"[0.1585683376, 5.7216811043, 0.0]"
201,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,no_mans_land,deuce,"[0.5347067118, 0.3418968168, 2.3879575729]","[-2.3303763213, 33.3912565969, 1.5414727467]",top,over,far,no_mans_land,deuce,"[-0.9031996131, 20.5441532135, 1.4722802639]"
202,964239482519510429463795739407980857415734383373,1,3,host,return,far,ground_stroke,no_mans_land,deuce,"[-0.9031996131, 21.7529415495, 1.4722802639]","[-0.3979274661, -23.7064859029, 1.9645060717]",left,over,near,no_mans_land,ad,"[-1.2150770426, 3.353140831, 0.0]"
203,964239482519510429463795739407980857415734383373,1,3,guest,serve_plus_one,near,ground_stroke,no_mans_land,ad,"[-1.2945621014, -0.3678430436, 1.2349424362]","[3.4443978382, 21.6466808803, 1.8631312882]",left,net,near,service_box,deuce,"[0.9882861972, 11.6024246216, 0.0]"
204,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,no_mans_land,ad,"[-1.0460175276, 1.2204872253, 2.3721506596]","[1.7774131574, 20.4614678636, 0.8165511466]",top,over,far,service_box,ad,"[0.347078234, 16.7482624054, 0.0]"
205,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,no_mans_land,ad,"[-1.0413262844, 0.0754781845, 1.8989927769]","[0.4749902907, 26.9811859078, 1.2859873517]",top,over,far,no_mans_land,deuce,"[-0.6769498623, 20.2747612, 0.0]"
206,964239482519510429463795739407980857415734383373,1,3,guest,second_serve,near,second_serve,no_mans_land,ad,"[-0.8085308671, -0.110965872, 2.5956997871]","[2.2680840713, 24.5495600264, 0.9756168441]",top,over,far,no_mans_land,ad,"[1.0826818943, 19.8173751831, 0.0]"
207,964239482519510429463795739407980857415734383373,1,3,guest,return,near,ground_stroke,out,deuce,"[0.5722695589, -0.7120307801, 1.2039070129]","[-0.4653947387, 22.0529879024, 4.7889371568]",right,over,far,out,ad,"[0.0212249272, 24.6299007193, 0.0]"
208,964239482519510429463795739407980857415734383373,1,3,host,serve_plus_one,far,ground_stroke,service_box,deuce,"[-0.7358611822, 12.4504389173, 2.3932273388]","[0.2083354566, -14.191539372, -0.4912473987]",left,over,near,no_mans_land,ad,"[-0.6003745198, 3.3708400726, 0.0]"
209,964239482519510429463795739407980857415734383373,1,3,guest,return_plus_one,near,ground_stroke,out,ad,"[-0.5507875085, -0.6872762558, 1.0070521832]","[0.5720195368, 20.0911115998, 4.3860423699]",left,over,far,no_mans_land,ad,"[0.0692670718, 20.3863925934, 0.0]"
210,964239482519510429463795739407980857415734383373,1,3,host,in_play,far,ground_stroke,no_mans_land,deuce,"[-0.2962764204, 22.3836883909, 1.5162085295]","[-1.4036713359, -20.4174114593, 1.4012103761]",left,over,near,service_box,ad,"[-1.3027414083, 7.9088449478, 0.0]"
211,964239482519510429463795739407980857415734383373,1,3,guest,in_play,near,ground_stroke,no_mans_land,ad,"[-1.84258008, 3.2513900879, 0.7752227783]","[4.6614606861, 27.5760567203, 1.0353102589]",left,over,far,service_box,ad,"[0.5672487617, 17.1713161469, 0.0]"
212,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,service_box,deuce,"[0.1719759256, 0.2971402533, 2.2423157692]","[-0.7055334932, 44.1799958012, -0.8327193227]",top,over,far,service_box,deuce,"[-0.0751187652, 15.5423851013, 1.3492515087]"
213,964239482519510429463795739407980857415734383373,1,3,host,return,far,ground_stroke,service_box,deuce,"[-0.0751187652, 16.7511734373, 1.3492515087]","[4.4846062107, -39.8873267783, -2.705846367]",left,over,near,no_mans_land,deuce,"[1.3455510139, 4.1882051341, 0.0]"
214,964239482519510429463795739407980857415734383373,1,3,guest,serve_plus_one,near,ground_stroke,no_mans_land,deuce,"[1.9142050743, 3.3955675247, 1.1058644056]","[-1.2970510579, 16.9092576356, 4.0990124632]",right,over,far,no_mans_land,ad,"[0.5514832735, 20.4780445099, 0.0]"
215,964239482519510429463795739407980857415734383373,1,3,host,return_plus_one,far,ground_stroke,no_mans_land,ad,"[0.4398934543, 21.7042774564, 1.3143503666]","[1.1192186203, -32.2773528023, 0.44757809]",left,over,near,service_box,deuce,"[0.869125247, 9.4137897491, 0.764819622]"
216,964239482519510429463795739407980857415734383373,1,3,guest,in_play,near,volley,service_box,deuce,"[0.869125247, 8.8885427597, 0.764819622]","[-0.1117813791, 5.6452667983, 3.6928176461]",right,net,near,service_box,deuce,"[0.5912250876, 6.5051040773, 0.0]"
217,964239482519510429463795739407980857415734383373,1,3,guest,none,near,ground_stroke,no_mans_land,deuce,"[1.1990563869, -0.0531438706, 0.7831630707]","[-0.4536255266, 15.2624114874, 4.8190250419]",right,net,near,service_box,deuce,"[0.6578803658, 6.9505332031, 0.0]"
218,964239482519510429463795739407980857415734383373,1,3,guest,first_serve,near,first_serve,service_box,deuce,"[-0.3326019645, 0.0932296182, 1.8434972763]","[0.4358414319, 29.5022867167, -0.7301210683]",top,net,near,service_box,ad,"[-1.5770857334, 7.8776981936, 0.0]"
219,964239482519510429463795739407980857415734383373,1,3,guest,second_serve,near,second_serve,service_box,deuce,"[0.2680889368, 0.0316120713, 2.3444848061]","[-2.3826385408, 28.0597497245, 1.4232874861]",top,over,far,service_box,deuce,"[-1.2815093994, 17.8581106538, 1.1961307526]"
220,964239482519510429463795739407980857415734383373,1,3,guest,none,near,ground_stroke,no_mans_land,ad,"[-2.3870370388, 1.0299202087, 1.6989235878]","[5.2360061911, 37.0149015977, 0.5284211517]",right,over,far,service_box,deuce,"[-0.2916278839, 15.5828723907, 1.1251072884]"
