Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,No,"Business, Data Science, Economics",TRUE,3,FALSE,Yes,Yes,4/18,8,6,8,Right-handed,On your back,FALSE,0,2
First Year,I don't know,Molecular and Cell Biology,FALSE,4,FALSE,Yes,Yes,4/12,3,4,7,Right-handed,On your stomach,FALSE,0,2
Third Year,Yes,Computer Science,FALSE,4,FALSE,Yes,Yes,1/30,10,13,7,Right-handed,On your right side,FALSE,2,3
Fourth Year,No,Media Studies,TRUE,1,TRUE,Yes,Yes,2/19,4,4,4,Right-handed,On your right side,FALSE,2,5
Third Year,No,Chemical Engineering,FALSE,4,TRUE,Yes,Yes,7/18,4,10,7,Right-handed,On your back,TRUE,0,5
First Year,Yes,Political Economy,TRUE,1,FALSE,Yes,No,7/10,4,5,8,Right-handed,On your back,FALSE,4,3
Fourth Year,No,Sustainable Environmental Design,FALSE,4,FALSE,Yes,No,7/27,1,4,8,Right-handed,On your left side,TRUE,0,1
First Year,Yes,Applied Math,FALSE,4,FALSE,Yes,Yes,6/17,3,6,7,Right-handed,On your back,FALSE,0,2
First Year,No,Media Studies,TRUE,1,FALSE,Yes,Yes,1/3,5,5,7,Right-handed,On your left side,TRUE,2,3
First Year,No,Business,TRUE,2,TRUE,Yes,Yes,9/28,7,4,7,Right-handed,On your back,FALSE,0,2
First Year,No,"Political Science, Urban Studies",TRUE,3,FALSE,Yes,Yes,2/28,7,4,8,Right-handed,On your stomach,FALSE,0,1
Third Year,Yes,Computer Science,FALSE,3,FALSE,Yes,Yes,11/5,8,6,6,Right-handed,On your back,TRUE,0,3
Second Year,No,history,TRUE,1,FALSE,Maybe,No,9/21,7,10,7,Left-handed,On your right side,FALSE,1,3
First Year,No,Enviornmental Engineering,FALSE,3,FALSE,Yes,Yes,6/12,7,5,8.5,Right-handed,On your right side,TRUE,4,3
Fourth Year,Yes,Environmental Science,TRUE,2,FALSE,Yes,No,8/28,4,5,8,Right-handed,On your right side,TRUE,5,2
First Year,No,Media Studies,TRUE,3,TRUE,Yes,Yes,7/3,8,13,8,Right-handed,On your right side,FALSE,8,2
First Year,No,Industrial Engineering and Operations Research,FALSE,3,TRUE,Yes,Yes,9/8,6,4,7,Left-handed,On your right side,FALSE,2,4
Fourth Year,No,Economics,TRUE,1,FALSE,Maybe,No,2/9,8,10,7,Right-handed,On your back,TRUE,0,3
