Year,Minority,Major,Programming,Programming_Scale,Statistics,Letter_Grade,Requirement,Birthday,Extrovert,People_Texted,Hours_of_Sleep,Handedness,Sleep_Position,Pets,Piercings,Languages
First Year,No,Public Health,FALSE,2,TRUE,Yes,Yes,6/7,7,10,8,Right-handed,On your back,FALSE,4,5
Third Year,No,Applied Math,FALSE,3,FALSE,Yes,Yes,8/9,3,4,8,Right-handed,On your right side,TRUE,0,1
First Year,No,"Data Science, Economics",FALSE,2,FALSE,Yes,Yes,4/19,9,5,7,Right-handed,On your left side,FALSE,0,1
First Year,No,Business,TRUE,1,TRUE,Yes,Yes,4/6,7,5,7,Right-handed,On your left side,FALSE,8,3
First Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,10/6,6,2,10,Right-handed,On your right side,FALSE,4,2
First Year,No,Integrative Biology,TRUE,1,TRUE,Yes,Yes,11/9,5,4,7,Right-handed,On your stomach,FALSE,5,3
First Year,No,Computer Science,FALSE,4,TRUE,Yes,Yes,7/9,3,10,8,Right-handed,On your right side,FALSE,0,3
First Year,No,EEP,TRUE,1,TRUE,Yes,Yes,10/14,5,6,7,Left-handed,On your stomach,FALSE,2,4
First Year,I don't know,"Cognitive Science, Data Science, Economics",TRUE,1,TRUE,Yes,Yes,6/28,9,10,7,Right-handed,On your left side,FALSE,4,4
First Year,I don't know,Cognitive Science,TRUE,1,TRUE,Yes,Yes,9/21,5,5,6,Right-handed,On your right side,FALSE,6,2
First Year,I don't know,Economics,TRUE,2,FALSE,Maybe,Yes,1/2,8,6,8,Left-handed,On your left side,TRUE,0,3
Second Year,No,Environmental Economics and Policy,TRUE,1,TRUE,Yes,Yes,10/6,8,8,7,Right-handed,On your right side,FALSE,2,3
Third Year,No,Data Science,FALSE,3,FALSE,Yes,Yes,11/26,4,3,6,Right-handed,On your left side,FALSE,5,4
First Year,No,Political Science,TRUE,1,FALSE,Yes,Yes,2/10,4,3,7,Right-handed,On your right side,TRUE,0,3
Second Year,Yes,Political Science,TRUE,1,TRUE,Yes,Yes,5/8,6,3,8,Right-handed,On your right side,TRUE,4,5
Second Year,No,EECS,FALSE,5,FALSE,Yes,Yes,9/15,4,3,8.5,Right-handed,On your back,FALSE,0,4
First Year,No,Business,TRUE,1,TRUE,Yes,Yes,6/3,7,12,7,Right-handed,On your right side,FALSE,2,6
Third Year,Yes,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,1/27,5,10,8,Right-handed,On your stomach,FALSE,6,3
First Year,Yes,Undecided,FALSE,4,FALSE,Yes,Yes,2/20,6,10,7,Right-handed,On your right side,TRUE,2,3
First Year,No,"Business, Economics",FALSE,1,TRUE,Yes,Yes,10/1,6,3,7,Right-handed,On your right side,FALSE,0,2
Second Year,No,Neuroscience,TRUE,1,FALSE,Yes,Yes,9/18,4,5,8,Right-handed,On your right side,FALSE,9,2
Second Year,No,Applied Math,FALSE,3,TRUE,Yes,Yes,5/24,4,2,6,Left-handed,On your right side,FALSE,6,3
Second Year,No,Economics,TRUE,1,FALSE,Yes,Yes,9/13,7,6,7,Right-handed,On your right side,FALSE,2,2
Fourth Year,No,Industrial Engineering and Operations Research,FALSE,4,TRUE,Yes,No,7/27,7,3,8,Right-handed,On your back,TRUE,0,4
Fourth Year,No,"Economics, Sociology",TRUE,3,FALSE,Maybe,No,3/23,5,5,9,Right-handed,On your left side,FALSE,13,3
Third Year,Yes,Media Studies,TRUE,1,TRUE,Yes,Yes,10/1,2,2,9,Right-handed,On your back,FALSE,2,5
Fourth Year,No,Molecular and Cell Biology,FALSE,3,FALSE,Maybe,No,6/14,7,5,8,Right-handed,On your right side,FALSE,5,3
Fourth Year,No,Molecular and Cell Biology,TRUE,1,FALSE,Maybe,No,9/27,5,10,7.5,Right-handed,On your right side,FALSE,4,5
First Year,Yes,"Cognitive Science, Media Studies",TRUE,1,TRUE,Yes,Yes,8/2,5,5,8,Right-handed,On your left side,FALSE,4,2
Second Year,No,Chemical Biology,FALSE,3,FALSE,Yes,Yes,11/23,6,3,7,Right-handed,On your back,TRUE,0,3
Second Year,Yes,Chemical Engineering,FALSE,3,FALSE,Yes,Yes,4/1,7,6,7.5,Right-handed,On your stomach,FALSE,0,2
First Year,No,"Data Science, Economics",TRUE,1,TRUE,Yes,Yes,3/15,10,6,7,Right-handed,On your right side,FALSE,8,4
First Year,Yes,Neuroscience,TRUE,2,FALSE,Yes,Yes,8/15,4,15,7.5,Right-handed,On your right side,TRUE,4,7
First Year,No,Political Science,TRUE,1,FALSE,Yes,Yes,1/3,7,30,7,Left-handed,On your left side,FALSE,8,3
First Year,No,"Political Science, Psychology",TRUE,1,FALSE,Yes,Yes,9/27,8,25,7.5,Right-handed,On your left side,FALSE,7,3
First Year,No,Economics,TRUE,1,FALSE,Yes,Yes,8/16,9,15,7,Right-handed,On your right side,TRUE,0,3
First Year,No,Molecular Environmental Biology,TRUE,1,FALSE,Yes,Yes,8/27,5,6,7,Right-handed,On your left side,FALSE,1,2
Third Year,No,Environmental Economics&Policy,TRUE,1,TRUE,Yes,Yes,1/25,3,2,9,Right-handed,On your back,TRUE,2,4
Second Year,No,Genetics & Plant Biology,TRUE,1,TRUE,Yes,Yes,6/16,3,9,7,Right-handed,On your stomach,FALSE,2,5
First Year,No,Molecular Environmental Biology,TRUE,1,FALSE,Yes,Yes,1/22,7,5,7,Right-handed,On your left side,FALSE,6,1
Second Year,No,Political Science,FALSE,3,FALSE,Yes,Yes,9/11,7,5,8,Right-handed,On your right side,FALSE,0,2
First Year,No,"Data Science, Economics",TRUE,1,FALSE,Yes,Yes,1/26,4,5,7,Right-handed,On your right side,FALSE,2,1
First Year,No,Political Economy,TRUE,1,TRUE,Yes,Yes,7/21,8,3,7,Right-handed,On your left side,TRUE,0,4
First Year,Yes,Public Health,FALSE,3,TRUE,Yes,Yes,7/4,7,6,7,Right-handed,On your right side,TRUE,1,2
First Year,No,Data Science,FALSE,3,FALSE,Yes,Yes,10/28,6,8,8,Right-handed,On your left side,TRUE,0,3
Third Year,No,"Applied Math, Data Science",FALSE,2,FALSE,Yes,Yes,11/19,7,3,6,Left-handed,On your right side,TRUE,0,2
Third Year,Yes,Data Science,FALSE,3,TRUE,Yes,Yes,12/26,2,1,7,Right-handed,On your back,FALSE,0,2
First Year,I don't know,Economics,FALSE,2,TRUE,Yes,Yes,9/24,7,10,7,Right-handed,On your right side,FALSE,2,2
Third Year,No,Mathematics,TRUE,5,TRUE,Yes,Yes,6/16,2,1,8,Right-handed,On your back,TRUE,0,4
Fourth Year,Yes,Applied Math,TRUE,2,FALSE,Yes,No,6/16,4,6,8,Right-handed,On your right side,FALSE,1,2
First Year,No,Economics,TRUE,1,FALSE,Yes,Yes,10/11,6,3,7,Right-handed,On your stomach,FALSE,0,4
Third Year,I don't know,Public Health,FALSE,3,FALSE,Yes,Yes,1/16,6,13,7,Right-handed,On your right side,TRUE,2,2
Second Year,Yes,Computer Science,FALSE,4,FALSE,Yes,Yes,7/20,3,7,7,Right-handed,On your back,FALSE,1,2
First Year,No,Computer Science,FALSE,3,FALSE,Yes,Yes,6/5,3,3,7,Right-handed,On your left side,TRUE,0,2
First Year,No,Industrial Engineering and Data Science,FALSE,3,FALSE,Yes,Yes,2/7,6,3,7,Right-handed,On your right side,FALSE,0,3
First Year,Yes,Legal Studies,TRUE,1,TRUE,Yes,Yes,8/18,5,5,8,Right-handed,On your right side,FALSE,4,2
First Year,No,Undecided,TRUE,1,FALSE,Yes,Yes,10/9,1,3,8,Right-handed,On your back,TRUE,0,3
Second Year,I don't know,Applied Math,TRUE,2,FALSE,Yes,No,4/4,5,4,9,Right-handed,On your back,FALSE,0,2
First Year,Yes,Public Health,TRUE,1,FALSE,Yes,Yes,5/18,10,5,8,Right-handed,On your right side,FALSE,3,2
First Year,No,English,TRUE,1,TRUE,Yes,No,5/2,3,2,8,Right-handed,On your right side,FALSE,0,3
First Year,Yes,Civil engineering,TRUE,3,FALSE,Yes,Yes,1/10,7,5,8,Left-handed,On your left side,FALSE,2,2
First Year,Yes,Public Health,FALSE,2,FALSE,Maybe,Yes,10/25,9,10,8,Right-handed,On your right side,TRUE,6,1
First Year,Yes,Psychology,TRUE,1,FALSE,Yes,Yes,4/4,5,2,7,Right-handed,On your back,FALSE,2,2
First Year,Yes,"Business, Cognitive Science, Data Science, Economics, Media Studies, Molecular and Cell Biology, Undecided",TRUE,2,TRUE,Yes,Yes,8/28,4,6,7,Right-handed,On your right side,FALSE,4,3
First Year,No,Political Economy,TRUE,1,TRUE,Yes,Yes,7/7,7,3,7,Right-handed,On your right side,FALSE,2,7
First Year,No,Microbial Biology,TRUE,1,FALSE,Yes,No,3/22,3,5,6,Right-handed,On your right side,FALSE,4,4
First Year,No,"Economics, Molecular and Cell Biology",FALSE,1,FALSE,Yes,Yes,1/21,5,10,5,Right-handed,On your back,FALSE,2,3
Fourth Year,No,Double major: Geography & Conservation and Resource Studies,FALSE,2,FALSE,No,No,3/5,3,3,8,Right-handed,On your back,FALSE,0,1
First Year,No,Cognitive Science,TRUE,1,TRUE,Maybe,Yes,2/13,4,6,7,Left-handed,On your stomach,FALSE,2,3
First Year,No,Environmental Science,TRUE,3,TRUE,Yes,Yes,10/10,6,7,7,Right-handed,On your right side,TRUE,2,3
First Year,Yes,"Business, Data Science",TRUE,1,TRUE,Yes,Yes,7/25,5,4,7,Right-handed,On your right side,TRUE,0,2
First Year,No,"Business, Economics",TRUE,1,FALSE,Yes,Yes,3/28,7,5,8,Right-handed,On your right side,FALSE,0,2
Fourth Year,No,Molecular and Cell Biology,FALSE,3,TRUE,Yes,No,12/17,3,1,9,Right-handed,On your back,TRUE,2,3
Fourth Year,I don't know,Molecular and Cell Biology,FALSE,3,FALSE,Maybe,I don't know,1/6,6,2,8,Right-handed,On your back,FALSE,0,3
First Year,No,Business,TRUE,1,FALSE,Yes,Yes,6/18,7,10,8,Right-handed,On your right side,FALSE,1,2
First Year,I don't know,Economics,TRUE,1,TRUE,Yes,Yes,7/8,4,2,12,Right-handed,On your left side,FALSE,4,2
Fourth Year,Yes,Economics,FALSE,2,FALSE,Yes,No,12/11,3,2,8,Right-handed,On your back,TRUE,8,3
First Year,I don't know,"Data Science, Physics",FALSE,2,FALSE,Yes,Yes,9/6,3,5,7,Right-handed,On your right side,FALSE,0,2
Second Year,I don't know,Statistics,FALSE,2,FALSE,Yes,Yes,1/3,7,10,7,Right-handed,On your back,TRUE,0,3
Second Year,No,Business,TRUE,1,TRUE,Yes,Yes,7/3,6,10,7,Right-handed,On your right side,TRUE,2,3
First Year,No,Applied Math,FALSE,3,FALSE,Yes,Yes,11/1,6,5,8,Right-handed,On your back,FALSE,0,3
First Year,No,Computer Science,FALSE,3,FALSE,Yes,Yes,9/16,4,1,7,Right-handed,On your left side,TRUE,0,3
First Year,No,Economics,TRUE,1,FALSE,Maybe,No,7/15,7,6,7,Right-handed,On your right side,TRUE,2,6
First Year,No,Economics,TRUE,1,FALSE,Yes,Yes,9/18,8,4,8,Right-handed,On your back,TRUE,0,2
Third Year,No,Media Studies,FALSE,3,FALSE,Yes,Yes,8/15,6,5,6,Right-handed,On your right side,FALSE,2,2
Second Year,No,conservation and resource studies,TRUE,1,TRUE,Yes,No,3/3,4,3,8,Left-handed,On your back,TRUE,7,4
First Year,No,Undecided,FALSE,2,FALSE,Maybe,I don't know,1/3,4,7,7,Right-handed,On your right side,TRUE,2,3
Fourth Year,I don't know,Chemical Engineering,FALSE,3,FALSE,Yes,Yes,8/11,7,10,7,Right-handed,On your right side,TRUE,4,4
First Year,No,"Data Science, Economics",TRUE,1,FALSE,Yes,Yes,10/13,4,6,6,Left-handed,On your back,FALSE,0,2
First Year,No,Integrative Biology,FALSE,2,TRUE,Yes,I don't know,8/20,4,2,8,Right-handed,On your back,FALSE,0,1
Fourth Year,Yes,Sociology ,TRUE,1,TRUE,Maybe,No,3/12,6,3,7,Right-handed,On your right side,FALSE,10,2
Graduate Student,Yes,"Environmental Science, Political Science",TRUE,1,TRUE,No,Yes,2/25,10,5,8,Right-handed,On your right side,FALSE,0,5
First Year,No,Molecular and Cell Biology,TRUE,1,FALSE,Yes,Yes,7/11,4,4,6,Right-handed,On your right side,FALSE,2,3
First Year,No,Business,TRUE,1,TRUE,Yes,Yes,3/1,8,3,9,Right-handed,On your left side,TRUE,0,1
First Year,Yes,Computer Science,FALSE,3,TRUE,Yes,No,1/12,3,1,9,Right-handed,On your back,TRUE,0,2
Third Year,No,Statistics,FALSE,3,FALSE,Yes,Yes,3/14,6,5,6,Right-handed,On your right side,TRUE,0,4
First Year,No,Economics,TRUE,1,TRUE,Yes,No,1/26,7,6,8,Right-handed,On your stomach,FALSE,1,4
First Year,No,Bioengineering,TRUE,4,TRUE,Yes,No,5/29,5,3,8,Right-handed,On your right side,FALSE,0,3
First Year,No,Computer Science,FALSE,4,TRUE,Yes,Yes,1/21,5,6,,Right-handed,On your back,FALSE,0,3
Third Year,No,Architecture,FALSE,3,TRUE,No,I don't know,2/22,4,2,7,Right-handed,On your right side,TRUE,3,3
First Year,No,Statistics,FALSE,3,FALSE,Yes,Yes,11/11,8,9,5,Right-handed,On your back,FALSE,6,2
First Year,No,Environmental Science,TRUE,1,FALSE,Yes,Yes,4/17,7,7,7,Right-handed,On your left side,FALSE,2,8
First Year,No,Data Science,TRUE,2,TRUE,Yes,Yes,11/26,2,5,6,Right-handed,On your right side,TRUE,0,3
First Year,No,Applied Math,TRUE,1,TRUE,Yes,No,1/10,3,10,7,Right-handed,On your left side,FALSE,0,6
First Year,Yes,"Applied Math, Data Science",FALSE,1,TRUE,Yes,Yes,12/7,8,5,7,Left-handed,On your right side,FALSE,0,4
Third Year,Yes,EECS,FALSE,4,FALSE,Yes,Yes,2/1,6,8,6,Right-handed,On your back,FALSE,0,6
First Year,I don't know,"Environmental Science, Molecular and Cell Biology",TRUE,1,FALSE,Yes,Yes,5/7,3,3,6,Right-handed,On your back,FALSE,0,3
First Year,Yes,Undecided,FALSE,2,FALSE,Yes,Yes,10/26,5,10,10,Right-handed,On your right side,TRUE,0,3
Third Year,No,BioE,FALSE,3,FALSE,Yes,Yes,12/23,5,1,7,Right-handed,On your back,TRUE,3,4
First Year,No,EECS,FALSE,3,TRUE,Yes,Yes,1/3,6,5,7,Right-handed,On your right side,TRUE,2,8
Third Year,I don't know,genetics and plant biology,TRUE,2,FALSE,Maybe,I don't know,4/26,6,5,7.5,Right-handed,On your right side,TRUE,0,3
First Year,No,Statistics,FALSE,2,FALSE,Yes,Yes,11/1,5,5,7,Right-handed,On your right side,FALSE,4,2
Second Year,I don't know,Chemical Biology,FALSE,3,TRUE,Yes,No,9/6,8,10,8,Right-handed,On your back,TRUE,0,4
First Year,I don't know,"Cognitive Science, Rhetorics",TRUE,2,TRUE,Yes,Yes,10/10,4,5,8,Right-handed,On your right side,TRUE,0,3
Second Year,Yes,"Psychology, Public Health",TRUE,1,TRUE,Yes,Yes,3/27,4,4,6,Right-handed,On your right side,TRUE,1,6
Third Year,Yes,Applied Math,TRUE,2,FALSE,Yes,Yes,7/12,2,4,8,Right-handed,On your right side,TRUE,2,2
Fourth Year,No,Psychology,FALSE,2,FALSE,Maybe,No,3/16,3,4,6.5,Right-handed,On your right side,TRUE,7,2
First Year,No,"Environmental Science, EEP",FALSE,3,FALSE,Yes,Yes,1/16,8,6,8,Right-handed,On your right side,FALSE,5,6
First Year,I don't know,Cognitive Science,TRUE,1,TRUE,Yes,Yes,8/7,6,3,6,Right-handed,On your left side,FALSE,0,2
First Year,Yes,Mathematics,TRUE,1,TRUE,Yes,No,8/28,8,6,8,Right-handed,On your back,FALSE,2,2
Second Year,Yes,"Political Science, Legal Studies",TRUE,1,FALSE,Yes,Yes,2/8,7,4,8,Right-handed,On your left side,FALSE,4,3
First Year,I don't know,"Cognitive Science, Data Science",FALSE,2,FALSE,Yes,Yes,1/7,6,2,8,Right-handed,On your right side,FALSE,0,2
First Year,No,"Applied Math, Data Science",FALSE,4,TRUE,Yes,Yes,9/7,3,5,6,Right-handed,On your right side,FALSE,0,3
First Year,Yes,Cognitive Science,TRUE,1,FALSE,Yes,Yes,7/2,5,5,8,Right-handed,On your back,FALSE,5,3
Second Year,No,"Data Science, Economics",TRUE,2,FALSE,Yes,Yes,6/23,6,10,7,Right-handed,On your right side,FALSE,0,2
First Year,I don't know,Applied Math,TRUE,1,FALSE,Maybe,No,1/19,4,4,6,Right-handed,On your left side,TRUE,3,2
First Year,No,Public Health,TRUE,1,TRUE,Yes,Yes,4/3,6,3,10,Right-handed,On your back,FALSE,0,2
First Year,No,"Cognitive Science, Undecided",TRUE,2,TRUE,Yes,Yes,6/12,9,10,6.5,Right-handed,On your back,TRUE,3,3
First Year,No,Civil ,FALSE,3,TRUE,Yes,Yes,12/18,7,18,7,Right-handed,On your stomach,FALSE,1,2
First Year,Yes,Molecular and Cell Biology,TRUE,1,TRUE,Yes,No,4/19,7,12,7,Right-handed,On your right side,FALSE,1,5
Second Year,No,Molecular and Cell Biology,TRUE,2,FALSE,Yes,Yes,4/25,6,7,6,Right-handed,On your right side,FALSE,6,1
First Year,Yes,Computer Science,FALSE,4,FALSE,Yes,Yes,4/7,5,6,7,Right-handed,On your right side,TRUE,2,3
First Year,Yes,"Data Science, Economics",TRUE,1,TRUE,Maybe,Yes,9/22,6,7,7,Right-handed,On your left side,FALSE,2,3
Second Year,Yes,"Environmental Science, Conservation Resource Studies ",FALSE,2,FALSE,Yes,Yes,5/19,9,20,7,Right-handed,On your left side,FALSE,9,2
Second Year,No,Economics,TRUE,1,FALSE,Yes,Yes,3/5,8,10,8,Right-handed,On your left side,TRUE,0,2
Third Year,I don't know,Media Studies,TRUE,1,FALSE,Yes,Yes,9/10,3,4,6.3,Right-handed,On your right side,FALSE,6,2
First Year,Yes,"Cognitive Science, Data Science",TRUE,1,TRUE,Yes,Yes,7/6,3,5,6.7,Left-handed,On your stomach,TRUE,0,1
First Year,No,Sociology,TRUE,2,FALSE,Yes,I don't know,3/1,5,5,8,Right-handed,On your right side,FALSE,1,2
First Year,No,Business,FALSE,5,FALSE,Yes,Yes,4/26,7,8,7,Right-handed,On your right side,TRUE,1,2
Third Year,Yes,Applied Math,TRUE,1,TRUE,Yes,No,12/30,4,1,10,Right-handed,On your back,TRUE,0,2
First Year,No,Cognitive Science,TRUE,1,FALSE,Yes,Yes,11/5,8,6,9,Right-handed,On your right side,TRUE,2,7
First Year,No,environmental economics and policy,TRUE,2,FALSE,Yes,Yes,6/25,6,7,7,Right-handed,On your back,FALSE,2,2
First Year,No,Chemical Engineering,TRUE,2,TRUE,Yes,Yes,10/18,7,8,8,Right-handed,On your left side,TRUE,0,1
Second Year,No,"Molecular and Cell Biology, Public Health",TRUE,1,TRUE,Yes,Yes,3/24,5,3,7,Right-handed,On your right side,TRUE,2,2
First Year,Yes,Microbial Biology,TRUE,1,TRUE,Yes,Yes,1/23,4,5,8,Right-handed,On your back,FALSE,4,3
Third Year,Yes,Molecular and Cell Biology,TRUE,2,FALSE,Yes,No,5/3,6,4,6,Right-handed,On your right side,TRUE,3,1
First Year,No,Neuroscience,TRUE,1,TRUE,Yes,Yes,1/20,4,10,7,Right-handed,On your right side,TRUE,5,3
First Year,Yes,Public Health,TRUE,2,TRUE,Yes,Yes,6/19,5,6,8,Left-handed,On your back,FALSE,0,3
First Year,Yes,"Economics, Political Economy, Public Health",TRUE,2,TRUE,Yes,Yes,7/17,5,4,7,Right-handed,On your right side,TRUE,2,3
First Year,No,Economics,TRUE,1,TRUE,Yes,No,2/6,5,4,7,Right-handed,On your back,FALSE,1,3
First Year,No,English,TRUE,1,TRUE,Maybe,No,7/13,5,5,6,Right-handed,On your back,FALSE,0,3
First Year,No,"Business, Data Science",FALSE,3,FALSE,Yes,Yes,6/9,8,13,8,Right-handed,On your right side,FALSE,2,3
Third Year,No,Applied Math,TRUE,4,FALSE,Yes,Yes,5/31,7,10,7,Right-handed,On your stomach,FALSE,0,1
Fourth Year,Yes,"Environmental Science, Molecular and Cell Biology",FALSE,4,FALSE,Yes,No,7/24,7,10,7,Right-handed,On your back,FALSE,5,2
Second Year,No,Psychology,TRUE,1,FALSE,Yes,Yes,8/18,7,20,8,Left-handed,On your stomach,TRUE,0,1
First Year,Yes,"Computer Science, Data Science, Psychology, Undecided",TRUE,3,FALSE,Yes,Yes,10/6,5,5,6,Right-handed,On your left side,TRUE,4,1
First Year,No,Business,TRUE,1,TRUE,Yes,Yes,12/6,5,8,8,Right-handed,On your back,FALSE,0,3
First Year,No,Business,FALSE,1,FALSE,Yes,Yes,9/10,7,4,6,Right-handed,On your left side,TRUE,2,5
First Year,I don't know,"Data Science, Statistics",FALSE,2,TRUE,Yes,Yes,3/26,4,3,6.5,Right-handed,On your back,FALSE,3,4
First Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,1/8,3,5,8,Right-handed,On your back,TRUE,2,2
First Year,Yes,Political Science,TRUE,2,TRUE,Maybe,Yes,1/22,4,3,7,Right-handed,On your right side,FALSE,2,2
First Year,No,"Cognitive Science, Data Science",TRUE,3,TRUE,Yes,Yes,11/30,6,6,7.5,Right-handed,On your left side,FALSE,2,7
First Year,I don't know,"Business, Political Science",TRUE,1,TRUE,Yes,Yes,1/24,7,3,7,Right-handed,On your right side,FALSE,1,2
Second Year,Yes,Undecided,FALSE,1,TRUE,Yes,Yes,11/18,10,25,4,Left-handed,On your back,TRUE,0,7
Second Year,Yes,Cognitive Science,FALSE,2,FALSE,Yes,Yes,4/14,7,4,6,Right-handed,On your left side,TRUE,0,1
Second Year,Yes,"Computer Science, Undecided",FALSE,4,FALSE,Yes,Yes,12/14,7,10,7,Right-handed,On your right side,TRUE,2,2
First Year,No,"Applied Math, Economics",TRUE,3,TRUE,Yes,No,6/2,3,5,5.5,Right-handed,On your left side,TRUE,0,3
Second Year,Yes,Public Health,TRUE,1,TRUE,Yes,Yes,7/7,3,3,8,Right-handed,On your left side,TRUE,2,2
First Year,No,Applied Math,TRUE,1,FALSE,Yes,No,10/29,4,3,8,Right-handed,On your back,TRUE,0,3
First Year,Yes,Chemical Biology,TRUE,1,TRUE,Yes,Yes,8/2,8,5,7,Right-handed,On your right side,TRUE,2,2
First Year,Yes,Computer Science,FALSE,4,TRUE,Yes,Yes,10/13,5,2,8,Right-handed,On your left side,FALSE,0,0
Second Year,I don't know,Political Economy,TRUE,2,FALSE,Yes,Yes,11/3,6,3,7,Right-handed,On your right side,FALSE,0,2
Second Year,No,Business,TRUE,1,FALSE,Yes,No,4/2,7,8,8,Right-handed,On your left side,TRUE,0,2
First Year,I don't know,Public Health,TRUE,3,FALSE,Yes,Yes,4/8,5,3,7,Right-handed,On your left side,FALSE,7,2
First Year,No,"Applied Math, Computer Science",FALSE,4,FALSE,Yes,Yes,9/18,7,3,7,Right-handed,On your right side,FALSE,2,2
First Year,No,"Cognitive Science, Data Science",FALSE,3,TRUE,Yes,Yes,7/7,7,3,5,Right-handed,On your right side,TRUE,1,3
First Year,No,"Molecular and Cell Biology, MEB ",TRUE,1,TRUE,Yes,Yes,9/6,4,5,6,Right-handed,On your left side,FALSE,5,3
Second Year,I don't know,"Economics, Molecular and Cell Biology",FALSE,3,FALSE,Yes,No,2/20,8,20,7,Left-handed,On your stomach,FALSE,2,2
First Year,No,"Data Science, Economics",FALSE,3,FALSE,Yes,Yes,5/27,6,3,8,Right-handed,On your back,FALSE,0,3
First Year,No,Applied Math,FALSE,5,FALSE,Yes,Yes,11/6,4,10,6.5,Right-handed,On your right side,TRUE,0,3
First Year,I don't know,"Cognitive Science, Undecided",TRUE,1,TRUE,Yes,Yes,4/22,8,10,5,Right-handed,On your left side,FALSE,2,3
Fifth Year or above,Yes,Sociology,TRUE,1,TRUE,Yes,No,12/31,6,4,6,Right-handed,On your back,TRUE,2,8
First Year,Yes,Business,TRUE,1,FALSE,Yes,Yes,1/10,4,7,7,Right-handed,On your back,TRUE,1,3
Fourth Year,No,Genetics and Plant Biology,TRUE,1,FALSE,No,No,2/26,3,3,7,Right-handed,On your right side,FALSE,2,2
Fourth Year,Yes,Conservation and Resource Studies ,FALSE,1,TRUE,Yes,No,11/1,2,3,7,Right-handed,On your stomach,TRUE,3,3
Third Year,I don't know,Applied Math,TRUE,2,TRUE,Yes,No,5/20,3,4,6,Right-handed,On your back,TRUE,0,3
First Year,No,Environmental Science,FALSE,3,FALSE,Yes,Yes,3/20,7,4,7,Right-handed,On your right side,TRUE,0,4
Second Year,Yes,Microbial biology ,TRUE,2,FALSE,Yes,Yes,2/7,4,6,6,Right-handed,On your left side,FALSE,2,2
First Year,No,Business,FALSE,1,FALSE,Yes,Yes,7/25,7,15,7,Right-handed,On your back,TRUE,2,4
First Year,No,Cognitive Science,FALSE,3,TRUE,Yes,Yes,9/19,4,5,8.5,Right-handed,On your right side,TRUE,2,4
First Year,No,EECS,FALSE,5,FALSE,Yes,Yes,10/16,8,5,6,Right-handed,On your right side,TRUE,0,10
Second Year,No,Chemical Biology,FALSE,4,FALSE,Yes,Yes,5/27,7,10,8,Right-handed,On your right side,FALSE,0,4
First Year,No,Genetics and Plant Biology,TRUE,3,FALSE,Yes,Yes,8/1,8,12,8,Right-handed,On your stomach,TRUE,1,2
First Year,No,Physics,FALSE,4,TRUE,Yes,No,8/16,3,4,6,Right-handed,On your left side,TRUE,0,2
First Year,No,Neuroscience,TRUE,1,FALSE,Yes,Yes,3/21,6,6,6.5,Right-handed,On your back,TRUE,3,3
First Year,No,Cognitive Science,TRUE,1,TRUE,Yes,Yes,5/18,3,10,7,Right-handed,On your back,TRUE,0,2
First Year,No,"Business, IEOR",FALSE,2,FALSE,Yes,Yes,1/4,6,10,8,Right-handed,On your left side,TRUE,2,2
First Year,I don't know,Business,TRUE,1,FALSE,Yes,Yes,12/17,2,8,8,Right-handed,On your left side,FALSE,2,4
First Year,I don't know,Computer Science,FALSE,3,FALSE,Yes,Yes,6/17,8,4,7,Right-handed,On your right side,FALSE,2,1
Second Year,Yes,Public Health,TRUE,1,FALSE,Yes,Yes,2/17,3,8,6,Right-handed,On your right side,FALSE,3,3
First Year,No,"Business, Data Science",TRUE,1,TRUE,Yes,Yes,3/28,7,7,7,Right-handed,On your right side,FALSE,7,4
First Year,No,"Business, Data Science",FALSE,4,FALSE,Yes,Yes,11/28,5,4,6,Right-handed,On your right side,TRUE,1,3
Second Year,Yes,Civil Engineering,FALSE,3,FALSE,Yes,Yes,5/31,8,5,7,Left-handed,On your stomach,FALSE,2,3
First Year,No,"Business, Statistics",FALSE,2,FALSE,Yes,Yes,2/14,8,4,6,Right-handed,On your left side,FALSE,1,5
First Year,I don't know,"Applied Math, Data Science, Integrative Biology",TRUE,1,TRUE,Yes,Yes,3/1,7,16,7,Right-handed,On your stomach,FALSE,2,4
Fourth Year,No,Chemistry,TRUE,2,TRUE,Yes,No,9/19,7,3,7,Right-handed,On your right side,TRUE,0,2
First Year,Yes,Civil Engineering,TRUE,2,FALSE,Yes,Yes,11/3,2,2,5,Right-handed,On your right side,TRUE,4,1
First Year,No,Computer Science,FALSE,5,FALSE,Maybe,No,7/8,3,10,7.5,Right-handed,On your right side,TRUE,0,4
Second Year,Yes,Public Health,FALSE,3,TRUE,Yes,Yes,1/9,5,4,6,Right-handed,On your right side,FALSE,5,2
Third Year,No,Public Health,TRUE,1,TRUE,Yes,Yes,1/6,4,3,6,Right-handed,On your right side,TRUE,2,3
Second Year,No,"Applied Math, Data Science",FALSE,3,TRUE,Yes,Yes,5/22,5,5,7,Right-handed,On your stomach,TRUE,0,2
Third Year,No,Applied Math,FALSE,4,FALSE,Yes,No,9/10,8,8,8,Right-handed,On your right side,FALSE,0,3
